L1: slang,formal,In-dictionary,context,category1,category2,category3
L24: gemess,gemas,1,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,modifikasi vokal,0,0
L25: akuuu,aku,1,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,elongasi,0,0
L26: jgn,jangan,1,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,abreviasi,0,0
L27: yaa,ya,1,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,elongasi,0,0
L28: udah,sudah,1,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,zeroisasi,0,0
L29: gitu,begitu,1,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,abreviasi,0,0
L30: aja,saja,1,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,zeroisasi,0,0
L31: gemesiin,menggemaskan,1,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,afiksasi,elongasi,0
L32: menyenangkn,menyenangkan,1,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,abreviasi,0,0
L33: rb,ribu,1,??jilbab segi empat rawis 100rb dapat 5jilbab ? dan segi empat lace 100rb dapat 4jilbab ?,abreviasi,0,0
L34: akau,aku,1,Awalnya Emang Pusing Ya Sis untuk memilih Mana Distributor yang terbaik aman dan dapat dipercaya waktu temen akau saranin ke@DR.AKBAR.FASHIONHERBALL Eh malah nemuin hasil yang terbaik dari@DR.AKBAR.FASHIONHERBALL ya udah aku tanpa lama lama lagi waktu habis suplementnya aku tambah lagi hihi... langsung aja admin Pin Bbm: D0545049 line:@HRX9934Z pake @ yah..,anaptiksis,0,0
L35: saranin,menyarankan,1,Awalnya Emang Pusing Ya Sis untuk memilih Mana Distributor yang terbaik aman dan dapat dipercaya waktu temen akau saranin ke@DR.AKBAR.FASHIONHERBALL Eh malah nemuin hasil yang terbaik dari@DR.AKBAR.FASHIONHERBALL ya udah aku tanpa lama lama lagi waktu habis suplementnya aku tambah lagi hihi... langsung aja admin Pin Bbm: D0545049 line:@HRX9934Z pake @ yah..,afiksasi,0,0
L36: nemuin,menemukan,1,Awalnya Emang Pusing Ya Sis untuk memilih Mana Distributor yang terbaik aman dan dapat dipercaya waktu temen akau saranin ke@DR.AKBAR.FASHIONHERBALL Eh malah nemuin hasil yang terbaik dari@DR.AKBAR.FASHIONHERBALL ya udah aku tanpa lama lama lagi waktu habis suplementnya aku tambah lagi hihi... langsung aja admin Pin Bbm: D0545049 line:@HRX9934Z pake @ yah..,afiksasi,0,0
L37: yah,ya,1,Awalnya Emang Pusing Ya Sis untuk memilih Mana Distributor yang terbaik aman dan dapat dipercaya waktu temen akau saranin ke@DR.AKBAR.FASHIONHERBALL Eh malah nemuin hasil yang terbaik dari@DR.AKBAR.FASHIONHERBALL ya udah aku tanpa lama lama lagi waktu habis suplementnya aku tambah lagi hihi... langsung aja admin Pin Bbm: D0545049 line:@HRX9934Z pake @ yah..,anaptiksis,0,0
L38: met,selamat,1,Met ultah kak tulus....,abreviasi,0,0
L39: mnis2nya,manis-manisnya,0,Ada mnis2nya gtu ?,reduplikasi,abreviasi,0
L40: gtu,begitu,1,gtu,abreviasi,0,0
L41: tu,itu,1,Diet pak . dah montok tu . hihi . love 4 voice tulus,zeroisasi,0,0
L42: idolaa,idola,1,Happy birthday ka @tulusm idolaa bangett???,elongasi,0,0
L43: bangett,banget,1,Happy birthday ka @tulusm idolaa bangett???,elongasi,0,0
L44: kaakk,kak,1,"Selamat ulang tahun kaakk, semoga kedepannya makin baaiikkk?? @tulusm maaf telaatt?",elongasi,0,0
L45: baaiikkk,baik,1,"Selamat ulang tahun kaakk, semoga kedepannya makin baaiikkk?? @tulusm maaf telaatt?",elongasi,0,0
L46: telaatt,telat,1,"Selamat ulang tahun kaakk, semoga kedepannya makin baaiikkk?? @tulusm maaf telaatt?",elongasi,0,0
L47: kaak,kak,1,"selamat ulang tahun kaak, sukses selalu.. @tulusm",elongasi,0,0
L48: yg,yang,1,Hey kalian mau tau produk herbal peninggi badan yg lg top sekarang ? cari tau skarang juga follow ig@montirherbal dan INVITE PIN : D098054A,abreviasi,0,0
L49: lg,lagi,1,Hey kalian mau tau produk herbal peninggi badan yg lg top sekarang ? cari tau skarang juga follow ig@montirherbal dan INVITE PIN : D098054A,abreviasi,0,0
L50: skarang,sekarang,1,Hey kalian mau tau produk herbal peninggi badan yg lg top sekarang ? cari tau skarang juga follow ig@montirherbal dan INVITE PIN : D098054A,zeroisasi,0,0
L51: yg,yang,1,"Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)",abreviasi,0,0
L52: sempet,sempat,1,"Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)",modifikasi vokal,0,0
L53: karna,karena,1,"Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)",zeroisasi,0,0
L54: ngga,enggak,1,"Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)",zeroisasi,0,0
L55: karna,karena,1,"Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)",zeroisasi,0,0
L56: mantep,mantap,1,"Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)",modifikasi vokal,0,0
L57: loohhh,loh,1,@zain.harun menurut loohhh haahhahaa ganteng yeee ????,elongasi,0,0
L58: yeee,ya,1,@zain.harun menurut loohhh haahhahaa ganteng yeee ????,elongasi,modifikasi vokal,0
L59: baguuuuus,bagus,1,Baguuuuus banget....,elongasi,0,0
L60: sampe,sampai,1,"Keren bor, sampe ngikutin gayany hahaha",monoftongisasi,0,0
L61: ngikutin,mengikuti,1,"Keren bor, sampe ngikutin gayany hahaha",afiksasi,0,0
L62: gayany,gayanya,0,"Keren bor, sampe ngikutin gayany hahaha",abreviasi,0,0
L63: ngikutin,mengikuti,1,Sering ngikutin gaya nya lg nyanyi,afiksasi,0,0
L64: lg,lagi,1,Sering ngikutin gaya nya lg nyanyi,abreviasi,0,0
L65: bnk,bang,1,TOP bnk ariel... gaya g,abreviasi,subtitusi,homofon
L66: awaas,awas,1,Minta rokok ny dong awaas to kena jari...,elongasi,0,0
L67: siip,sip,1,Siip bang ariel,elongasi,0,0
L68: abizzzz,habis,1,Aaaaaa....suaranya keren abizzzz kak ariel....kerrrrennnn...alwayz support you,elongasi,subtitusi,zeroisasi
L69: kerrrrennnn,keren,1,Aaaaaa....suaranya keren abizzzz kak ariel....kerrrrennnn...alwayz support you,elongasi,0,0
L70: sayaa,saya,1,kayak pacar sayaa wendel's ?,elongasi,0,0
L71: pengen,pengin,1,Pengen duet Tapi kapan?,modifikasi vokal,0,0
L72: kpan,kapan,1,Noah kpan kemedan?,abreviasi,0,0
L73: bgt,banget,1,"Jauh bgt geo sma boriel, mirip suaranya sdkit paling ya",abreviasi,0,0
L74: sma,sama,1,"Jauh bgt geo sma boriel, mirip suaranya sdkit paling ya",abreviasi,0,0
L75: sdkit,sedikit,1,"Jauh bgt geo sma boriel, mirip suaranya sdkit paling ya",abreviasi,0,0
L76: bngt,banget,1,Ku suka bngt lgu nya,abreviasi,0,0
L77: lgu,lagu,1,Ku suka bngt lgu nya,abreviasi,0,0
L78: bener2,benar-benar,1,@ariel_nazril_irham bener2 kharismanya harga mati..!! Senyumnya...nyengirnya...gayanya pas di panggung...,reduplikasi,modifikasi vokal,0
L79: kharismanya,karismanya,1,@ariel_nazril_irham bener2 kharismanya harga mati..!! Senyumnya...nyengirnya...gayanya pas di panggung...,anaptiksis,0,0
L80: aq,aku,1,Lagu kesukaan aq banget @ariel_nazril_irham,abreviasi,homofon,0
L81: yg,yang,1,Kalau suara nya pada mirip  apa nya yg jdi istimewa lgi,abreviasi,0,0
L82: jdi,jadi,1,Kalau suara nya pada mirip  apa nya yg jdi istimewa lgi,abreviasi,0,0
L83: lgi,lagi,1,Kalau suara nya pada mirip  apa nya yg jdi istimewa lgi,abreviasi,0,0
L84: gk,enggak,1,Keren gk no @mutiaranovashadiqah,abreviasi,0,0
L85: kek,kayak,1,Kek gua hahahaha @mutiaranovashadiqah,abreviasi,modifikasi vokal,0
L86: lgunya,lagunya,0,Ini judul lgunya apa ya??,abreviasi,0,0
L87: kpan,kapan,1,Kak Kpan Konser Di Surabaya,abreviasi,0,0
L88: kereeeeennnn,keren,1,Kereeeeennnn boriel,elongasi,0,0
L89: nyamain,menyamakan,1,@ariel_nazril_irham tidak ada yg bisa nyamain . Mentok,afiksasi,0,0
L90: slalu,selalu,1,Rokok slalu membuat ariel semakin lakik,zeroisasi,0,0
L91: lakik,laki,1,Rokok slalu membuat ariel semakin lakik,anaptiksis,0,0
L92: siippp,sip,1,Siippp siippp,elongasi,0,0
L93: bkn,bukan,1,Iya bener itu di korea bkn,abreviasi,0,0
L94: nyangka,menyangka,1,Aku ga nyangka itu korea,afiksasi,0,0
L95: bangettt,banget,1,Indah bangettt ???,elongasi,0,0
L96: kereeen,keren,1,Kereeen banget ?,elongasi,0,0
L97: wihhhhhh,wih,1,Wihhhhhh...,elongasi,0,0
L98: tp,tapi,1,"Keren!? tp jadi inget nya lirik lagu ini ""we can't stop stop stop yeogin PARTY time..."" #SNSD",abreviasi,0,0
L99: inget,ingat,1,"Keren!? tp jadi inget nya lirik lagu ini ""we can't stop stop stop yeogin PARTY time..."" #SNSD",modifikasi vokal,0,0
L100: bingitsss,banget,1,Snsd bingitsss,modifikasi vokal,elongasi,0
L101: dmn,dimana,0,Dmn itu air nya bird bgt,abreviasi,0,0
L102: bird,biru,1,Dmn itu air nya bird bgt,salah ketik,0,0
L103: kaloo,kalo,1,Kaloo Kelewat Gimna Tuuh,elongasi,0,0
L104: gimna,bagaimana,1,Kaloo Kelewat Gimna Tuuh,abreviasi,0,0
L105: tuuh,tuh,0,Kaloo Kelewat Gimna Tuuh,elongasi,0,0
L106: nyebur,mencebur,1,Kalo kelewat ya nyebur,afiksasi,0,0
L107: yng,yang,1,Itu kn laut atau kolam renang yng dbuat syuting nya snsd ya kn kak,abreviasi,0,0
L108: dbuat,dibuat,0,Itu kn laut atau kolam renang yng dbuat syuting nya snsd ya kn kak,abreviasi,0,0
L109: kn,kan,1,Itu kn laut atau kolam renang yng dbuat syuting nya snsd ya kn kak,abreviasi,0,0
L110: org,orang,1,"Mana mungkin shot di bali, rame org",abreviasi,0,0
L111: pingin,pengin,1,@afahalwa pingin aku,modifikasi vokal,0,0
L112: bgt,banget,1,Mau bgt kagitu @jusinidelashlifah,abreviasi,0,0
L113: tu,itu,1,Dimana tu ka,zeroisasi,0,0
L114: bangcat,bangsat,1,Ko bangcat yha :') @bilavkcb,subtitusi,0,0
L115: yha,ya,1,Ko bangcat yha :') @bilavkcb,anaptiksis,0,0
L116: waoohhh,wah,1,"Waoohhh indah nya,jdi pngn ke tmpt itu dhe",elongasi,anaptiksis,0
L117: pngn,pengin,1,"Waoohhh indah nya,jdi pngn ke tmpt itu dhe",abreviasi,0,0
L118: tmpt,tempat,1,"Waoohhh indah nya,jdi pngn ke tmpt itu dhe",abreviasi,0,0
L119: dhe,deh,1,"Waoohhh indah nya,jdi pngn ke tmpt itu dhe",homofon,0,0
L120: indahhh,indah,1,Indahhh bgttt di mana tuhh,elongasi,0,0
L121: bgttt,banget,1,Indahhh bgttt di mana tuhh,abreviasi,elongasi,0
L122: tuhh,tuh,0,Indahhh bgttt di mana tuhh,elongasi,0,0
L123: berarto,berarti,1,Lh-lho berarto snsd ke indo? @bethaniamaureen,salah ketik,0,0
L124: ga,enggak,1,"ga cell itu sg ndk bali, sg py e snsd ternyata ndk thailand namae lek ga salah koh samui island",abreviasi,zeroisasi,0
L125: aminn,amin,1,Aminn,elongasi,0,0
L126: aamiin,amin,1,Aamiin,elongasi,0,0
L127: amiiinn,amin,1,Amiiinn,elongasi,0,0
L128: dgn,dengan,1,"Di antara 77 korban AIRASIA yg warga Surabaya, 6 orang ( 5 dewasa, 1 anak SD, dalam 1 keluarga) adalah tetangga saya, Semoga arwah mereka semua diterima dgn baik di sisi Tuhan,, Amin",abreviasi,0,0
L129: aminnnn2,amin-amin,0,Aminnnn2 @fendi_dbonno9414,elongasi,reduplikasi,0
L130: amiin,amin,1,Amiin ya robbal alamin,elongasi,0,0
L131: aamiin,amin,1,Aamiin..,elongasi,0,0
L132: amiiiin,amin,1,Amiiiin ya robal alamin.,elongasi,0,0
L133: amiin,amin,1,Amiin,elongasi,0,0
L134: aminnn,amin,1,Aminnn,elongasi,0,0
…
L15397: gaharus,enggak harus,0,belajar tuh bisa dimana aja gaharus belajar di sekolah hehe ?? @adeknya.katyperry,akronim,0,0
